BusinessName,Category,Rating,ReviewCount,Price,City,State,ZipCode,Latitude,Longitude,IsOpen,Wifi,OutdoorSeating,Delivery
"Rosales, Pugh and Stephens",Gym,3.97,189,169.9690577,Christinaland,TN,78753,51.1175695,174.621,Yes,Free,No,Yes
Johnson-Acosta,Gym,4.71,503,715.1348365,New Marciashire,MN,23355,23.217046,-94.749849,No,None,No,Yes
"Hoffman, Williams and Black",Bar,2.66,859,418.9811737,Baxtermouth,WI,38234,69.1658225,-68.440119,Yes,Free,No,No
Smith and Sons,Gym,1.35,2,138.7876745,Port Kevin,IA,19865,-88.1626985,-177.30285,Yes,None,Yes,Yes
"Wilson, Pugh and Nguyen",Bar,4.63,994,191.2750388,East John,SC,79543,-69.963087,-37.929145,No,None,No,No
Jackson-Nguyen,Gym,4.2,165,620.4254917,Davidburgh,MO,89185,-33.9423215,84.160659,No,None,Yes,Yes
"Caldwell, Guzman and Pearson",Hotel,1.57,344,701.7465098,Port Johnfort,NV,51689,87.6064675,-58.177616,No,Free,Yes,Yes
"Hill, Williams and Perez",Restaurant,2.97,706,672.8556115,South Mariemouth,NE,85811,-72.6757325,106.419049,Yes,None,No,No
Gates-Thompson,Cafe,3.06,101,414.0409488,Port Michelleberg,IN,41039,-20.9868115,26.266717,No,Free,No,Yes
Cruz Group,Restaurant,3.77,169,783.8688582,North Danielstad,AR,74751,27.8285195,44.320189,No,Paid,No,Yes
Lucas Ltd,Bar,4.36,651,120.938859,Nicolefort,PW,31819,5.0670645,-160.418931,Yes,Free,Yes,Yes
"Vasquez, Williams and Jones",Restaurant,4.43,96,495.7642451,Harriston,IA,25346,-41.9265445,72.616852,No,Free,Yes,No
"Bell, Frost and Wheeler",Bar,3.7,571,534.9480936,South Jeffrey,CA,41956,-45.5061815,-76.20034,No,None,No,No
Walters-Taylor,Bar,4.29,498,942.7773531,New Douglasshire,MO,98660,67.260971,19.914366,No,Paid,No,No
"Diaz, Moreno and Jordan",Hotel,2.18,388,919.8074634,Williamsberg,CA,10776,-8.421593,-46.41991,No,None,Yes,No
"Rivera, Atkins and Robbins",Restaurant,3.39,788,965.5532099,Allisonton,MO,94594,-27.572461,121.231152,Yes,Paid,Yes,Yes
Lambert and Sons,Restaurant,2.29,291,242.0004998,Lake Lydia,AS,85032,-26.326836,-132.481478,Yes,Free,No,No
Yoder Ltd,Gym,4.43,216,862.1641868,Waltonview,NE,10843,10.337672,158.421522,Yes,Paid,No,No
"Schmidt, Murphy and Hanna",Gym,4.42,992,523.8696749,Lake Jose,NH,8874,-18.099231,-111.72749,No,Free,No,No
Woods Ltd,Cafe,1.15,145,937.0071146,Caitlinton,KS,20552,18.7578015,-62.23911,No,None,No,No
Moore Inc,Bar,2.16,651,451.3917248,New Courtneymouth,UT,8174,-46.7889375,-108.953055,Yes,None,No,Yes
"Hall, Solis and Vargas",Gym,2.25,693,278.0899208,Taylorchester,MI,21349,-73.4360165,-66.085177,Yes,None,No,No
"Vasquez, Nelson and Martinez",Restaurant,1.51,514,935.2058266,South Jeffreybury,AZ,89247,-47.888223,10.092456,No,None,No,No
Brown Ltd,Gym,1.13,845,996.3357721,West Alan,CA,67884,26.5878945,64.264189,Yes,Paid,No,Yes
Bass-Mooney,Gym,1.74,537,678.8320705,Paulside,HI,57826,19.209483,-81.77427,Yes,None,No,No
"White, King and Pratt",Hotel,1.12,486,460.5214811,South Sylviaton,MO,60522,-42.345592,174.919603,No,Free,Yes,Yes
Torres Inc,Hotel,3.53,990,297.6342138,Jacquelineberg,SD,59037,-21.938459,176.535005,Yes,None,Yes,Yes
Smith-Rojas,Gym,3.26,381,395.4159294,North Scott,DC,74369,16.756565,-68.869147,Yes,Free,No,Yes
