BusinessName,Category,Revenue,Expenses,Profit,ProfitMargin,City,State,ZipCode,Latitude,Longitude,IsOpen,Wifi,OutdoorSeating,Delivery
Steele Group,Finance,39048,29354,9694,24.825855357508708,New Javiermouth,SD,00672,7.377492,164.768302,Yes,Paid,Available,Not available
"Gonzalez, Zimmerman and Rivera",Hospitality,46747,12436,34311,73.3972233512311,Lake Kristenhaven,VA,02649,-69.639308,-94.002891,No,Free,Available,Available
Williams Group,Technology,49151,8789,40362,82.11836992126305,Stevensland,LA,16764,-28.729066,-20.934227,No,None,Not available,Available
Cook-Taylor,Retail,98332,9492,88840,90.34698775576618,New Edwinfort,MA,77172,-82.301396,150.603332,Yes,None,Available,Available
Bond-Graves,Hospitality,47889.65,48992,33005,40.251472614851764,West Jessica,MH,51554,-49.982630,-114.211863,No,Paid,Available,Available
Lawrence and Sons,Retail,12323,6074,6249,50.71005436987747,East Kevin,LA,80619,5.745896,6.789717,No,None,Available,Not available
"Vang, Henry and Carr",Technology,30077,10785,19292,64.1420354423646,Port Alexandramouth,KS,16202,44.972022,122.773904,No,Free,Not available,Available
"Russell, Robertson and Johnson",Healthcare,33173,27909,5264,15.868326651192236,East Jonathan,MD,26477,-85.488413,-111.061172,No,None,Available,Available
"Taylor, Weber and Turner",Technology,84088,42579,41509,49.36376177338027,North Megan,LA,42402,-69.554055,129.917803,No,Paid,Not available,Available
"Edwards, Ferrell and Brown",Technology,30848,23030,7818,25.343620331950206,Lake Codychester,ME,01288,44.515447,46.692663,No,Paid,Not available,Available
"Morgan, Baker and Gomez",Technology,62304,23076,39228,62.962249614791986,Joshuamouth,MD,25147,84.468800,-115.447044,Yes,Paid,Not available,Available
Sanchez Ltd,Technology,24705,3582,21123,85.50091074681238,Beardborough,NM,57645,82.627877,-42.441663,Yes,Free,Available,Available
Hill Ltd,Finance,87526,23150,64376,73.55071635856774,Port Alejandro,NM,35576,34.635400,-50.800129,No,Free,Not available,Not available
"Lyons, Richardson and Henderson",Retail,42774,48691,-5917,-13.833169682517418,Port Yolandatown,NJ,30062,9.983991,-87.779404,No,None,Available,Available
Brown-Sherman,Healthcare,98427,43289,55138,56.01918172859073,Port Coryview,KS,38913,-79.556065,-2.772244,Yes,Paid,Not available,Available
"Long, Perry and Ramsey",Finance,9343,18456,-9113,-97.53826394091834,West Miranda,NH,43831,73.536116,-98.081676,Yes,Paid,Not available,Not available
"Meza, Reid and Gonzalez",Hospitality,99126,11258,87868,88.64273752597704,Petersonstad,HI,27818,42.085214,31.511482,No,Free,Not available,Not available
Reed PLC,Healthcare,77952,16627,61325,78.67020730706076,North Phillipton,PA,45170,-70.507540,108.881997,Yes,None,Not available,Not available
"Winters, Rosales and House",Healthcare,34406,18483,15923,46.27971865372319,New Thomas,DE,13904,-23.235650,-158.478166,Yes,Free,Available,Available
Huynh-Lewis,Finance,35121,49437,-14316,-40.76193730246861,New William,TN,99542,-74.081212,52.501309,No,Paid,Available,Not available
"Browning, King and Lucas",Retail,42193,41981,212,0.5024530135330505,East Angela,WI,28202,56.265102,121.187842,Yes,Paid,Not available,Available
